Iteration,DICE,CARD,COIN
393,6,8-Diamonds,TAILS
394,2,Q-Diamonds,HEADS
395,1,2-Hearts,HEADS
396,3,A-Clubs,HEADS
397,1,3-Spades,HEADS
398,3,8-Clubs,TAILS
399,1,J-Clubs,HEADS
400,1,9-Diamonds,TAILS
401,5,10-Spades,TAILS
402,4,10-Spades,HEADS
403,2,A-Hearts,HEADS
404,6,7-Clubs,TAILS
405,1,Q-Diamonds,TAILS
406,3,10-Clubs,HEADS
407,2,K-Clubs,TAILS
408,5,6-Clubs,TAILS
409,4,Q-Hearts,HEADS
410,3,10-Diamonds,HEADS
411,4,A-Spades,HEADS
412,4,5-Hearts,TAILS
413,6,4-Clubs,TAILS
414,1,4-Clubs,HEADS
415,3,5-Diamonds,HEADS
416,2,J-Spades,HEADS
417,1,8-Clubs,TAILS
418,1,9-Diamonds,HEADS
419,5,6-Diamonds,HEADS
420,6,8-Hearts,HEADS
421,3,4-Clubs,TAILS
422,6,Q-Diamonds,TAILS
423,3,4-Diamonds,TAILS
424,1,8-Spades,TAILS
425,6,2-Spades,TAILS
426,5,A-Diamonds,TAILS
427,1,9-Hearts,HEADS
428,3,10-Diamonds,HEADS
429,4,K-Diamonds,HEADS
430,3,4-Hearts,HEADS
431,5,4-Hearts,HEADS
432,5,A-Spades,HEADS
433,3,J-Clubs,HEADS
434,2,A-Spades,TAILS
435,4,3-Spades,HEADS
436,4,A-Spades,TAILS
437,6,5-Spades,TAILS
438,5,10-Clubs,HEADS
439,5,K-Clubs,HEADS
440,3,3-Clubs,HEADS
441,5,4-Diamonds,TAILS
442,4,K-Clubs,HEADS
443,6,8-Diamonds,TAILS
444,2,8-Hearts,HEADS
445,1,3-Hearts,HEADS
446,1,6-Clubs,TAILS
447,1,5-Clubs,TAILS
448,5,8-Spades,HEADS
449,1,2-Hearts,TAILS
450,1,7-Diamonds,TAILS
451,3,8-Diamonds,HEADS
452,2,Q-Diamonds,HEADS
453,3,10-Diamonds,TAILS
454,2,5-Hearts,HEADS
455,2,8-Hearts,TAILS
456,1,2-Diamonds,HEADS
457,4,9-Diamonds,HEADS
458,3,10-Hearts,TAILS
459,2,4-Hearts,TAILS
460,6,5-Hearts,TAILS
461,2,4-Diamonds,HEADS
462,3,9-Spades,TAILS
463,4,4-Hearts,HEADS
464,2,9-Clubs,HEADS
465,4,3-Spades,TAILS
466,1,4-Clubs,HEADS
467,4,2-Diamonds,HEADS
468,5,8-Spades,TAILS
469,6,K-Diamonds,HEADS
470,5,7-Hearts,HEADS
471,2,4-Diamonds,HEADS
472,3,K-Diamonds,HEADS
473,4,6-Spades,HEADS
474,2,2-Spades,HEADS
475,1,6-Diamonds,HEADS
476,3,5-Diamonds,TAILS
477,2,Q-Hearts,TAILS
478,4,K-Spades,TAILS
479,6,6-Spades,TAILS
480,5,4-Clubs,TAILS
481,1,6-Spades,TAILS
482,1,Q-Diamonds,TAILS
483,3,K-Spades,TAILS
484,3,Q-Diamonds,TAILS
485,4,5-Hearts,TAILS
486,2,2-Clubs,TAILS
487,5,4-Clubs,TAILS
488,3,3-Spades,TAILS
489,2,A-Hearts,HEADS
490,3,4-Spades,HEADS
491,3,K-Diamonds,TAILS
492,1,10-Diamonds,TAILS
493,2,J-Spades,TAILS
494,3,A-Hearts,HEADS
495,6,8-Diamonds,HEADS
496,5,J-Hearts,HEADS
497,5,K-Hearts,HEADS
498,5,Q-Hearts,TAILS
499,5,6-Clubs,TAILS
500,2,8-Hearts,TAILS
501,4,4-Spades,TAILS
502,6,10-Clubs,TAILS
503,5,5-Spades,TAILS
504,3,9-Diamonds,HEADS
505,4,2-Spades,TAILS
506,2,5-Hearts,HEADS
507,6,6-Clubs,HEADS
508,6,Q-Diamonds,HEADS
509,1,J-Diamonds,TAILS
510,1,4-Diamonds,HEADS
511,6,2-Diamonds,HEADS
512,4,J-Spades,TAILS
513,3,3-Spades,TAILS
514,2,K-Hearts,HEADS
515,4,K-Hearts,HEADS
516,3,10-Clubs,TAILS
517,6,10-Diamonds,HEADS
518,1,9-Spades,HEADS
519,4,4-Diamonds,TAILS
520,6,9-Diamonds,TAILS
521,2,2-Spades,TAILS
522,1,7-Diamonds,HEADS
523,5,2-Diamonds,HEADS
524,5,2-Spades,TAILS
525,4,6-Diamonds,HEADS
526,4,8-Spades,HEADS
527,2,5-Spades,TAILS
528,4,A-Clubs,HEADS
529,5,2-Hearts,HEADS
530,6,9-Diamonds,HEADS
531,4,10-Clubs,TAILS
532,1,J-Hearts,TAILS
533,1,8-Diamonds,HEADS
534,5,5-Diamonds,TAILS
535,2,A-Clubs,TAILS
536,5,2-Diamonds,TAILS
537,6,10-Spades,HEADS
538,2,6-Diamonds,HEADS
539,2,5-Spades,TAILS
540,5,10-Diamonds,HEADS
541,5,A-Diamonds,TAILS
542,3,6-Diamonds,TAILS
543,1,9-Spades,TAILS
544,2,9-Clubs,TAILS
545,5,4-Hearts,TAILS
546,3,6-Diamonds,HEADS
547,6,J-Clubs,TAILS
548,5,Q-Hearts,TAILS
549,1,2-Diamonds,TAILS
550,4,5-Diamonds,TAILS
551,5,2-Hearts,HEADS
552,1,5-Spades,HEADS
553,2,A-Diamonds,TAILS
554,5,Q-Spades,HEADS
555,6,A-Diamonds,HEADS
556,4,A-Diamonds,HEADS
557,4,5-Hearts,HEADS
558,2,J-Diamonds,TAILS
559,3,J-Clubs,TAILS
560,2,4-Hearts,TAILS
561,6,3-Diamonds,TAILS
562,4,10-Hearts,HEADS
563,5,K-Hearts,TAILS
564,3,2-Hearts,TAILS
565,4,7-Hearts,TAILS
566,1,8-Clubs,HEADS
567,1,7-Hearts,HEADS
568,5,Q-Clubs,TAILS
569,5,8-Clubs,HEADS
570,6,3-Hearts,TAILS
571,3,Q-Diamonds,TAILS
572,3,K-Hearts,TAILS
573,3,9-Diamonds,TAILS
574,4,K-Clubs,TAILS
575,6,8-Clubs,TAILS
576,4,A-Spades,HEADS
577,5,K-Hearts,TAILS
578,2,5-Spades,HEADS
579,5,A-Spades,TAILS
580,1,5-Diamonds,TAILS
581,2,K-Clubs,HEADS
582,3,10-Diamonds,HEADS
583,4,2-Spades,TAILS
584,2,Q-Spades,HEADS
585,2,K-Clubs,HEADS
586,4,K-Hearts,HEADS
587,2,2-Hearts,TAILS
588,4,3-Clubs,TAILS
589,4,Q-Hearts,HEADS
590,6,9-Hearts,TAILS
591,2,6-Diamonds,TAILS
592,1,3-Spades,TAILS
593,3,4-Diamonds,HEADS
594,1,3-Clubs,HEADS
595,6,8-Clubs,HEADS
596,2,K-Clubs,HEADS
597,5,Q-Spades,TAILS
598,4,8-Hearts,HEADS
599,4,A-Hearts,HEADS
600,4,9-Hearts,HEADS
601,5,5-Diamonds,HEADS
602,4,Q-Clubs,TAILS
603,3,9-Spades,HEADS
604,3,8-Hearts,TAILS
605,5,7-Spades,HEADS
606,4,4-Clubs,TAILS
607,3,4-Hearts,TAILS
608,1,7-Diamonds,HEADS
609,3,8-Clubs,HEADS
610,1,10-Hearts,TAILS
611,5,6-Hearts,TAILS
612,4,Q-Spades,TAILS
613,2,10-Hearts,HEADS
614,1,A-Clubs,HEADS
615,4,10-Diamonds,TAILS
616,1,9-Clubs,TAILS
617,6,Q-Spades,TAILS
618,6,2-Spades,HEADS
619,3,K-Clubs,HEADS
620,3,3-Hearts,TAILS
621,4,Q-Hearts,TAILS
622,2,J-Hearts,HEADS
623,2,J-Hearts,HEADS
624,4,8-Clubs,HEADS
625,2,3-Spades,TAILS
626,4,A-Hearts,HEADS
627,1,Q-Clubs,HEADS
628,4,8-Clubs,HEADS
629,3,A-Spades,TAILS
630,2,8-Diamonds,HEADS
631,3,9-Diamonds,TAILS
632,3,8-Clubs,TAILS
633,1,3-Clubs,HEADS
634,3,8-Spades,TAILS
635,5,K-Spades,TAILS
636,2,6-Clubs,HEADS
637,3,9-Hearts,TAILS
638,3,A-Clubs,TAILS
639,3,2-Clubs,HEADS
640,6,J-Diamonds,TAILS
641,4,2-Hearts,HEADS
642,6,4-Diamonds,TAILS
643,4,9-Clubs,TAILS
644,1,5-Hearts,HEADS
645,3,A-Spades,TAILS
646,6,A-Diamonds,TAILS
647,5,J-Diamonds,HEADS
648,5,Q-Spades,TAILS
649,4,3-Clubs,HEADS
650,2,6-Hearts,TAILS
651,3,10-Diamonds,HEADS
652,4,J-Spades,HEADS
653,5,7-Spades,TAILS
654,6,4-Spades,TAILS
655,5,5-Clubs,TAILS
656,5,10-Hearts,TAILS
657,3,9-Clubs,HEADS
658,3,8-Spades,HEADS
659,5,K-Diamonds,TAILS
660,3,7-Diamonds,HEADS
661,5,2-Spades,TAILS
662,5,2-Hearts,TAILS
663,3,J-Spades,TAILS
664,3,8-Clubs,TAILS
665,4,4-Spades,TAILS
666,5,8-Clubs,TAILS
667,4,6-Diamonds,HEADS
668,4,Q-Clubs,HEADS
669,4,7-Spades,TAILS
670,6,J-Spades,HEADS
